id|latitud|longitud|autor|barrio|verso
1058|40.4181102|-3.6690849|﻿Teresa Garrido González|﻿RETIRO|Si miras al cielo eres un pastor de nubes
1013|40.419266|-3.6655015|﻿Morodo|﻿O`DONELL|Peladitos ven TV y quieren ser así, están&lt;br&gt;aprendiendo a matar antes que a vivir
1046|40.4162408|-3.6692204|﻿Mireia Calafell Obiol|﻿ESTRELLA|No. No ho vulgueu tot, que el tot està venint.&lt;br&gt;Té tanta pressa com vosaltres.
636|40.4143824|-3.6659052|﻿Gonza99|﻿RETIRO|Yo sé que eres tú,&lt;br&gt;pero tú aún no sabes que soy yo
343|40.4130427|-3.6698708|﻿SIDECARS|﻿ESTRELLA|Creo que aprendí a perder&lt;br&gt;En un arrebato de sinceridad
87|40.4113139|-3.6710496|﻿Jaime Refoyo|﻿NIÑO JESÚS|Soledad es&lt;br&gt;posterior al ser.
344|40.411221|-3.6687416|﻿Pablo Álvarez Amaro|﻿RETIRO|Tú tan cuerda&lt;br&gt;y yo tan de hacer nudos.
106|40.4109964|-3.6670008|﻿MORGAN|﻿ESTRELLA|Cúrame viento,&lt;br&gt;ven a mí y llévame lejos.
345|40.4111576|-3.6641578|﻿Bordelicado|﻿RETIRO|No permitas que te abrace&lt;br&gt;si no te deja abrir las alas.
287|40.4096117|-3.6697743|﻿Teresa Sebastián|﻿ESTRELLA|Solo las nubes conocen&lt;br&gt;la forma de mi cabeza
637|40.4082984|-3.6687952|﻿Patricia Pérez|﻿RETIRO|Cruzas salpicando estrellas&lt;br&gt;a cada paso
1140|40.4065399|-3.6851621|﻿sara cpg|﻿RETIRO|Es el gato negro el que busca su suerte cruzándose contigo.
1138|40.4066406|-3.6835655|﻿Anunciada Fernández de Córdova|﻿RETIRO|Yo, en la incertidumbre,&lt;br&gt; viviendo como si fuera para siempre
1150|40.407554|-3.6793644|﻿Manuel Rico|﻿PACÍFICO|No es el azar quien desploma tinieblas&lt;br&gt;en la claridad del suburbio: son los números
962|40.4071537|-3.6755504|﻿Fernando M.Lavandera|﻿PACÍFICO|Ante el corazón de la cigarra que cantaba&lt;br&gt;vi la de los árboles abriéndose.
346|40.4070639|-3.6727662|﻿Juan Carlos Torres Ochoa|﻿RETIRO|No es el viento son mis pulmones.&lt;br&gt;También son naturaleza mis sentidos.
347|40.4070516|-3.6703776|﻿Diego Ojeda Sánchez|﻿RETIRO|Ahora hay que vivir hasta quemarse.
194|40.4152646|-3.6575608|﻿Paloma Espartero|﻿MORATALAZ|pájaro del asombro,&lt;br&gt;levanta el vuelo
638|40.4125118|-3.6581335|﻿Elizabeth Duval|﻿MORATALAZ|¿dónde voy ahora que me ofreces&lt;br&gt;la cartografía plena de tu pulso?
765|40.4123279|-3.6542886|﻿José Carlos Conesa Salguero|﻿MORATALAZ|Píseme despacio&lt;br&gt;que tengo risas
1136|40.4120828|-3.6474623|﻿Laura Guerra Rey|﻿MORATALAZ|Ojalá que la tristeza tenga la misma memoria que los peces
1001|40.4091501|-3.6379967|﻿Dionisio Cañas|﻿MORATALAZ|Cuando andamos cabeza abajo entonces&lt;br&gt;es cuando empezamos a vivir de nuevo.
639|40.4079901|-3.6318291|﻿Cristina Pérez Carrasco|﻿MORATALAZ|Hasta la diminuta espora&lt;br&gt;puede desencadenar la primavera
232|40.4136799|-3.6277614|﻿Alberto Pérez Ruiz|﻿MORATALAZ|No es amor si amar no basta.
484|40.4103449|-3.6296644|﻿Consuelo Sánchez Naranjo|﻿HORCAJO|Donde no quede nada&lt;br&gt;clavarás tu destino de sal
1059|40.4105174|-3.6579979|﻿elpirulí|﻿MORATALAZ|Cada 12 horas el río es la ría, cada 12 horas&lt;br&gt;el mar es la mar. Cada 12 horas.
